installation_type,vessel_name,start_date,end_date,installation time,windfarm_name,,,
foundation,Wind Osprey,9/12/2015 16:03,9/13/2015 8:08,,Gemini,,,
foundation,Wind Osprey,9/13/2015 12:07,9/13/2015 23:03,,Gemini,,,
foundation,Wind Osprey,9/14/2015 0:16,9/14/2015 11:54,,Gemini,,,
foundation,Wind Osprey,9/16/2015 2:41,9/16/2015 17:13,,Gemini,,,
foundation,Wind Osprey,9/16/2015 20:01,9/18/2015 7:00,,Gemini,,,
foundation,Wind Osprey,9/18/2015 12:03,9/18/2015 20:22,,Gemini,,,
foundation,Wind Osprey,9/19/2015 20:02,9/20/2015 14:06,,Gemini,,,
foundation,Wind Osprey,9/20/2015 15:06,9/21/2015 5:01,,Gemini,,,
foundation,Wind Osprey,9/21/2015 6:27,9/21/2015 19:01,,Gemini,,,
foundation,Wind Osprey,9/22/2015 20:00,9/23/2015 10:13,,Gemini,,,
foundation,Wind Osprey,9/23/2015 11:27,9/24/2015 8:00,,Gemini,,,
foundation,Wind Osprey,9/24/2015 10:09,9/25/2015 6:00,,Gemini,,,
foundation,Wind Osprey,9/26/2015 10:23,9/27/2015 2:00,,Gemini,,,
foundation,Wind Osprey,9/27/2015 3:06,9/27/2015 16:01,,Gemini,,,
foundation,Wind Osprey,9/27/2015 18:00,9/28/2015 7:05,,Gemini,,,
foundation,Wind Osprey,9/30/2015 17:16,10/1/2015 9:01,,Gemini,,,
foundation,Wind Osprey,10/1/2015 11:01,10/2/2015 1:00,,Gemini,,,
foundation,Wind Osprey,10/2/2015 2:00,10/2/2015 15:00,,Gemini,,,
foundation,Wind Osprey,10/3/2015 17:19,10/4/2015 11:40,,Gemini,,,
foundation,Wind Osprey,10/4/2015 13:22,10/5/2015 3:00,,Gemini,,,
foundation,Wind Osprey,10/5/2015 7:01,10/5/2015 20:00,,Gemini,,,
foundation,Wind Osprey,10/9/2015 11:00,10/10/2015 1:39,,Gemini,,,
foundation,Wind Osprey,10/10/2015 3:15,10/10/2015 17:11,,Gemini,,,
foundation,Wind Osprey,10/10/2015 19:20,10/11/2015 9:03,,Gemini,,,
foundation,Wind Osprey,10/12/2015 14:24,10/13/2015 5:02,,Gemini,,,
foundation,Wind Osprey,10/13/2015 6:04,10/13/2015 21:00,,Gemini,,,
foundation,Wind Osprey,10/13/2015 22:01,10/14/2015 14:04,,Gemini,,,
foundation,Wind Osprey,10/15/2015 19:00,10/16/2015 16:00,,Gemini,,,
foundation,Wind Osprey,10/16/2015 17:00,10/17/2015 9:01,,Gemini,,,
foundation,Wind Osprey,10/17/2015 11:00,10/18/2015 0:00,,Gemini,,,
turbine,Wind Osprey,2/25/2016 13:23,2/27/2016 4:17,,Gemini,,,
turbine,Wind Osprey,2/27/2016 6:12,2/28/2016 17:05,,Gemini,,,
turbine,Wind Osprey,2/28/2016 18:00,3/1/2016 1:14,,Gemini,,,
